229,267,564,267,564,306,229,306,RESTORAN WAN SHENG,company
289,306,498,306,498,347,289,347,002043319-W,other
145,355,647,355,647,394,145,394,NO.2\, JALAN TEMENGGUNG 19/9,address
114,397,697,397,697,438,114,438,SEKSYEN 9\, BANDAR MAHKOTA CHERAS,address
202,441,594,441,594,480,202,480,43200 CHERAS\, SELANGOR,address
183,484,613,484,613,521,183,521,GST REG NO: 001335787520,other
184,568,576,568,576,606,184,606,TAX INVOICE,other
46,652,332,652,332,688,46,688,INV NO.: 1175805,other
363,654,646,654,646,692,363,692,CASHIER: THANDAR,other
44,695,116,695,116,732,44,732,DATE,other
172,699,544,699,544,735,172,735,: 04-06-2018 15:53:52,date
43,784,240,784,240,821,43,821,DESCRIPTION,other
310,784,365,784,365,823,310,823,QTY,other
432,788,557,788,557,822,432,822,U.PRICE,other
594,785,678,785,678,822,594,822,TOTAL,other
700,786,753,786,753,821,700,821,TAX,other
45,866,167,866,167,906,45,906,TEH (B),other
294,915,347,915,347,947,294,947,1 X,other
450,913,523,913,523,946,450,946,2.20,other
610,913,682,913,682,948,610,948,2.20,other
698,915,749,915,749,949,698,949,ZRL,other
42,950,185,950,185,989,42,989,CHAM (B),other
294,997,347,997,347,1031,294,1031,1 X,other
450,997,523,997,523,1032,450,1032,2.20,other
603,998,685,998,685,1033,603,1033,2.20,other
695,999,753,999,753,1035,695,1035,ZRL,other
41,1038,241,1038,241,1076,41,1076,BUNGA KEKWA,other
295,1083,346,1083,346,1115,295,1115,1 X,other
451,1084,524,1084,524,1116,451,1116,1.70,other
612,1084,679,1084,679,1118,612,1118,1.70,other
696,1084,749,1084,749,1117,696,1117,ZRL,other
44,1121,203,1121,203,1158,44,1158,TAKE AWAY,other
288,1162,347,1162,347,1200,288,1200,3 X,other
447,1166,521,1166,521,1201,447,1201,0.20,other
608,1167,681,1167,681,1201,608,1201,0.60,other
698,1168,750,1168,750,1202,698,1202,ZRL,other
41,1249,270,1249,270,1287,41,1287,TOTAL QTY: 6,other
43,1292,430,1292,430,1330,43,1330,TOTAL (EXCLUDING GST):,other
679,1296,750,1296,750,1328,679,1328,6.70,total
42,1333,483,1333,483,1370,42,1370,TOTAL (INCLUSIVE OF GST):,other
677,1338,751,1338,751,1371,677,1371,6.70,total
44,1374,244,1374,244,1413,44,1413,TOTAL :,other
607,1380,748,1380,748,1415,607,1415,6.70,total
41,1461,144,1461,144,1498,41,1498,CASH :,other
675,1466,749,1466,749,1500,675,1500,6.70,total
41,1589,234,1589,234,1626,41,1626,GST SUMMARY,other
394,1590,571,1590,571,1629,394,1629,AMOUNT(RM),other
624,1591,747,1591,747,1628,624,1628,TAX(RM),other
41,1630,95,1630,95,1666,41,1666,ZRL,other
220,1630,323,1630,323,1670,220,1670,(@ 0%),other
501,1633,572,1633,572,1669,501,1669,6.70,total
677,1636,750,1636,750,1669,677,1669,0.00,other
